Power_Usage	Year
1075		1980-01-01
650		1980-04-04
580		1980-09-01
754		1981-02-01
970		1981-06-06
660		1981-08-02
503		1981-09-14
784		1981-10-25
1060		1982-01-05
675		1982-03-03
490		1982-05-25
885		1982-12-01
925		1983-01-10
610		1983-03-15
489		1983-07-15
765		1983-11-12
1043		1984-01-02
673		1984-03-03
495		1984-05-05
796		1984-10-10
1060		1985-01-01
625		1985-04-12
501		1985-08-11
852		1985-11-15
985		1986-01-01
623		1986-02-14
499		1986-03-17
723		1986-09-13
930		1987-01-01
593		1987-02-17
496		1987-05-01
707		1987-10-10
962		1988-01-04
604		1988-03-01
509		1988-06-01
777		1988-11-02
1050		1989-01-05
633		1989-03-02
519		1989-06-02
766		1989-10-20
975		1989-12-25
655		1990-02-01
573		1990-05-03
759		1990-10-09
1089		1991-01-01
