Typ,Due_Date,Settle_date,Invoice_nbr,Invoice_date,Invoice_Amount,NetdueDate,NegativeInvoices,Reversal,Cancellation,cust_Nbr,CU_Channel_Partner_Type,Days_To_Pay,Type,Open_201001,Open_201002,Open_201003,Open_201004,Open_201005,Open_201006,Open_201007,Open_201008,Open_201009,Open_201010,Open_201011,Open_201012,Open_201101,Open_201102,Open_201103,Open_201104,Open_201105,Open_201106,Open_201107,Open_201108,Open_201109,Open_201110,Opendt_201001,Opendt_201002,Opendt_201003,Opendt_201004,Opendt_201005,Opendt_201006,Opendt_201007,Opendt_201008,Opendt_201009,Opendt_201010,Opendt_201011,Opendt_201012,Opendt_201101,Opendt_201102,Opendt_201103,Opendt_201104,Opendt_201105,Opendt_201106,Opendt_201107,Opendt_201108,Opendt_201109,Opendt_201110,Due_Stage,Pct_Complains,Pct_Com_Sugg,Pct_Request,Pct_Complains_Dol,Pct_Com_Sugg_Dol,Pct_Request_Dol,pct_Contractual_Enquiries,pct_Meter_Reading_Queries,pct_Pagepack_Pricing_Query,pct_change_company_details,pct_Portal_Access_issues,pct_TM_Invoicing_Query,pct_Billing,pct_Contractural_Issues,pct_All_Billing_Issues,pct_Payments_to_Xerox,pct_Meter_reading,pct_Contractual_Enquiries_Dol,pct_Meter_Reading_Queries_Dol,pct_Pagepack_Pricing_Query_Dol,pct_change_company_details_Dol,pct_Portal_Access_issues_Dol,pct_TM_Invoicing_Query_Dol,pct_Billing_Dol,pct_Contractural_Issues_Dol,pct_All_Billing_Issues_Dol,pct_Payments_to_Xerox_Dol,pct_Meter_reading_Dol,pct_Cus_req_change_dtl,pct_Xerox_Products_Services,pct_Change_in_commitment,pct_Est_reading_rej,pct_Customer_physical_Resite,pct_Inappropriate_Behaviour,pct_Not_assigned,pct_Copy_Invoice_Request,pct_Cus_req_change_dtl_Dol,pct_Xerox_Products_Services_Dol,pct_Change_in_commitment_Dol,pct_Est_reading_rej_Dol,pct_Customer_physical_Resite_Dol,pct_Inappropriate_Behaviour_Dol,pct_Not_assigned_Dol,pct_Copy_Invoice_Request_Dol,Num_Tran_6,Dol_Tran_6,Num_cur_6,Dol_cur_6,Num_es_6,Dol_es_6,Num_ls_6,Dol_ls_6,Num_age_6,Dol_age_6,Num_Tran_12,Dol_Tran_12,Num_cur_12,Dol_cur_12,Num_es_12,Dol_es_12,Num_ls_12,Dol_ls_12,Num_age_12,Dol_age_12,Pct_Cur_Num12,Pct_es_Num12,Pct_ls_Num12,Pct_age_Num12,Pct_Cur_Dol12,Pct_es_Dol12,Pct_ls_Dol12,Pct_age_Dol12,Pct_Cur_Num6,Pct_es_Num6,Pct_ls_Num6,Pct_age_Num6,Pct_Cur_Dol6,Pct_es_Dol6,Pct_ls_Dol6,Pct_age_Dol6,ModelType,Open_and_Current_Invoices,New_Due_Stage
RV,4/21/2010,7/5/2011,1000060301,22-Mar-10,434.35,,0,0,0,2001004141,Not assigned,440,Age,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,,,,41,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,Age,0,41
RV,3/2/2010,5/23/2011,1000045275,21-Jan-10,135.74,,0,0,0,2001018538,Concessionaire,447,Age,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,,,,,,91,0.632241814,0,0.367758186,0.967075413,0,0.032924587,0.124661247,0.178861789,0.127371274,0.048780488,0.012195122,0.004065041,0,0,0,0.004065041,0,0.01665483,0.135928166,0.263145186,0,0,0.000617076,0,0,0,0.083654741,0,0.392,0.104,0.002666667,0,0,0.001333333,0,0,0.481130724,0.018869276,0,0,0,0,0,0,1575,654627.16,789,278207.29,659,323943.17,119,46769.38,8,5707.32,1575,654627.16,789,278207.29,659,323943.17,119,46769.38,8,5707.32,0.500952381,0.418412698,0.075555556,0.005079365,0.424985865,0.494851405,0.071444301,0.008718428,0.500952381,0.418412698,0.075555556,0.005079365,0.424985865,0.494851405,0.071444301,0.008718428,Age,0,91
RV,3/27/2010,5/23/2011,1000054675,25-Feb-10,445.88,,0,0,0,2001018538,Concessionaire,422,Age,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,,,,,,66,0.632241814,0,0.367758186,0.967075413,0,0.032924587,0.124661247,0.178861789,0.127371274,0.048780488,0.012195122,0.004065041,0,0,0,0.004065041,0,0.01665483,0.135928166,0.263145186,0,0,0.000617076,0,0,0,0.083654741,0,0.392,0.104,0.002666667,0,0,0.001333333,0,0,0.481130724,0.018869276,0,0,0,0,0,0,1575,654627.16,789,278207.29,659,323943.17,119,46769.38,8,5707.32,1575,654627.16,789,278207.29,659,323943.17,119,46769.38,8,5707.32,0.500952381,0.418412698,0.075555556,0.005079365,0.424985865,0.494851405,0.071444301,0.008718428,0.500952381,0.418412698,0.075555556,0.005079365,0.424985865,0.494851405,0.071444301,0.008718428,Age,0,66
RV,4/18/2010,5/5/2011,1000057417,10-Mar-10,793.74,,0,0,0,2001018538,Concessionaire,382,Age,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,,,,,,44,0.632241814,0,0.367758186,0.967075413,0,0.032924587,0.124661247,0.178861789,0.127371274,0.048780488,0.012195122,0.004065041,0,0,0,0.004065041,0,0.01665483,0.135928166,0.263145186,0,0,0.000617076,0,0,0,0.083654741,0,0.392,0.104,0.002666667,0,0,0.001333333,0,0,0.481130724,0.018869276,0,0,0,0,0,0,1575,654627.16,789,278207.29,659,323943.17,119,46769.38,8,5707.32,1575,654627.16,789,278207.29,659,323943.17,119,46769.38,8,5707.32,0.500952381,0.418412698,0.075555556,0.005079365,0.424985865,0.494851405,0.071444301,0.008718428,0.500952381,0.418412698,0.075555556,0.005079365,0.424985865,0.494851405,0.071444301,0.008718428,Age,0,44
RV,4/10/2010,8/15/2011,1000058051,11-Mar-10,293.44,,0,0,0,2001018538,Concessionaire,492,Age,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,,,52,0.632241814,0,0.367758186,0.967075413,0,0.032924587,0.124661247,0.178861789,0.127371274,0.048780488,0.012195122,0.004065041,0,0,0,0.004065041,0,0.01665483,0.135928166,0.263145186,0,0,0.000617076,0,0,0,0.083654741,0,0.392,0.104,0.002666667,0,0,0.001333333,0,0,0.481130724,0.018869276,0,0,0,0,0,0,1575,654627.16,789,278207.29,659,323943.17,119,46769.38,8,5707.32,1575,654627.16,789,278207.29,659,323943.17,119,46769.38,8,5707.32,0.500952381,0.418412698,0.075555556,0.005079365,0.424985865,0.494851405,0.071444301,0.008718428,0.500952381,0.418412698,0.075555556,0.005079365,0.424985865,0.494851405,0.071444301,0.008718428,Age,0,52
RV,6/22/2010,5/23/2011,1000073830,12-May-10,166.7,,0,0,0,2001018538,Concessionaire,335,Age,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,,,,,,-21,0.632241814,0,0.367758186,0.967075413,0,0.032924587,0.124661247,0.178861789,0.127371274,0.048780488,0.012195122,0.004065041,0,0,0,0.004065041,0,0.01665483,0.135928166,0.263145186,0,0,0.000617076,0,0,0,0.083654741,0,0.392,0.104,0.002666667,0,0,0.001333333,0,0,0.481130724,0.018869276,0,0,0,0,0,0,1575,654627.16,789,278207.29,659,323943.17,119,46769.38,8,5707.32,1575,654627.16,789,278207.29,659,323943.17,119,46769.38,8,5707.32,0.500952381,0.418412698,0.075555556,0.005079365,0.424985865,0.494851405,0.071444301,0.008718428,0.500952381,0.418412698,0.075555556,0.005079365,0.424985865,0.494851405,0.071444301,0.008718428,Age,1,0
RV,6/18/2010,5/18/2011,1000075125,19-May-10,287,,0,0,0,2001018538,Concessionaire,334,Age,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,,,,,,-17,0.632241814,0,0.367758186,0.967075413,0,0.032924587,0.124661247,0.178861789,0.127371274,0.048780488,0.012195122,0.004065041,0,0,0,0.004065041,0,0.01665483,0.135928166,0.263145186,0,0,0.000617076,0,0,0,0.083654741,0,0.392,0.104,0.002666667,0,0,0.001333333,0,0,0.481130724,0.018869276,0,0,0,0,0,0,1575,654627.16,789,278207.29,659,323943.17,119,46769.38,8,5707.32,1575,654627.16,789,278207.29,659,323943.17,119,46769.38,8,5707.32,0.500952381,0.418412698,0.075555556,0.005079365,0.424985865,0.494851405,0.071444301,0.008718428,0.500952381,0.418412698,0.075555556,0.005079365,0.424985865,0.494851405,0.071444301,0.008718428,Age,1,0
RV,3/3/2010,4/15/2011,1000048074,1-Feb-10,283.49,,0,0,0,2001039525,Corporate Reseller,408,Age,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,,,,,,,90,1,0,0,999,999,999,0,0,0,0,0,0.5,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0.02173913,0,0.47826087,0,0,999,999,999,999,999,999,999,999,9,4442.14,3,215.75,5,2642.37,1,1584.02,0,0,9,4442.14,3,215.75,5,2642.37,1,1584.02,0,0,0.333333333,0.555555556,0.111111111,0,0.048568933,0.594841675,0.356589392,0,0.333333333,0.555555556,0.111111111,0,0.048568933,0.594841675,0.356589392,0,Age,0,90
RV,3/3/2010,4/15/2011,1000048075,1-Feb-10,332.83,,0,0,0,2001039525,Corporate Reseller,408,Age,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,,,,,,,90,1,0,0,999,999,999,0,0,0,0,0,0.5,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0.02173913,0,0.47826087,0,0,999,999,999,999,999,999,999,999,9,4442.14,3,215.75,5,2642.37,1,1584.02,0,0,9,4442.14,3,215.75,5,2642.37,1,1584.02,0,0,0.333333333,0.555555556,0.111111111,0,0.048568933,0.594841675,0.356589392,0,0.333333333,0.555555556,0.111111111,0,0.048568933,0.594841675,0.356589392,0,Age,0,90
RV,3/3/2010,4/15/2011,1000048076,1-Feb-10,10860.25,,0,0,0,2001039525,Corporate Reseller,408,Age,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,,,,,,,90,1,0,0,999,999,999,0,0,0,0,0,0.5,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0.02173913,0,0.47826087,0,0,999,999,999,999,999,999,999,999,9,4442.14,3,215.75,5,2642.37,1,1584.02,0,0,9,4442.14,3,215.75,5,2642.37,1,1584.02,0,0,0.333333333,0.555555556,0.111111111,0,0.048568933,0.594841675,0.356589392,0,0.333333333,0.555555556,0.111111111,0,0.048568933,0.594841675,0.356589392,0,Age,0,90
